"","plot","PD","SR","pd_per_spp"
"1","SGS_2013_con_1",2.083,10,0.2083
"2","SGS_2013_chr_2",2.363,12,0.196916666666667
"3","SGS_2013_int_3",1.85,9,0.205555555555556
"4","SGS_2013_con_4",2.035,10,0.2035
"5","SGS_2013_int_5",2.048,10,0.2048
"6","SGS_2013_chr_6",1.745,9,0.193888888888889
"7","SGS_2013_chr_7",2.077,10,0.2077
"8","SGS_2013_con_8",2.182,11,0.198363636363636
"9","SGS_2013_int_9",2.033,10,0.2033
"10","SGS_2013_con_10",2.068,10,0.2068
"11","SGS_2013_int_11",1.382,6,0.230333333333333
"12","SGS_2013_chr_12",2.257,9,0.250777777777778
"13","SGS_2013_con_13",2.386,12,0.198833333333333
"14","SGS_2013_chr_14",2.3,12,0.191666666666667
"15","SGS_2013_int_15",2.345,11,0.213181818181818
"16","SGS_2013_con_16",2.314,12,0.192833333333333
"17","SGS_2013_int_17",2.068,10,0.2068
"18","SGS_2013_chr_18",1.941,10,0.1941
"19","SGS_2013_int_19",1.785,8,0.223125
"20","SGS_2013_con_20",1.446,5,0.2892
"21","SGS_2013_chr_21",1.993,9,0.221444444444444
"22","SGS_2013_int_22",2.42,12,0.201666666666667
"23","SGS_2013_con_23",1.946,10,0.1946
"24","SGS_2013_chr_24",1.992,10,0.1992
"25","SGS_2013_chr_25",2.566,12,0.213833333333333
"26","SGS_2013_int_26",1.748,9,0.194222222222222
"27","SGS_2013_con_27",2.06,10,0.206
"28","SGS_2013_int_28",1.701,8,0.212625
"29","SGS_2013_chr_29",2.307,11,0.209727272727273
"30","SGS_2013_con_30",2.14,10,0.214
"31","SGS_2014_con_1",2.293,12,0.191083333333333
"32","SGS_2014_chr_2",2.252,11,0.204727272727273
"33","SGS_2014_int_3",2.446,13,0.188153846153846
"34","SGS_2014_con_4",2.224,12,0.185333333333333
"35","SGS_2014_int_5",2.437,13,0.187461538461538
"36","SGS_2014_chr_6",2.414,13,0.185692307692308
"37","SGS_2014_chr_7",2.375,12,0.197916666666667
"38","SGS_2014_con_8",2.369,15,0.157933333333333
"39","SGS_2014_int_9",2.5,15,0.166666666666667
"40","SGS_2014_con_10",2.429,14,0.1735
"41","SGS_2014_int_11",2.181,13,0.167769230769231
"42","SGS_2014_chr_12",2.294,12,0.191166666666667
"43","SGS_2014_con_13",2.197,12,0.183083333333333
"44","SGS_2014_chr_14",2.36,15,0.157333333333333
"45","SGS_2014_int_15",2.438,13,0.187538461538462
"46","SGS_2014_con_16",2.306,12,0.192166666666667
"47","SGS_2014_int_17",1.963,9,0.218111111111111
"48","SGS_2014_chr_18",2.43,13,0.186923076923077
"49","SGS_2014_int_19",2.497,12,0.208083333333333
"50","SGS_2014_con_20",1.934,11,0.175818181818182
"51","SGS_2014_chr_21",2.164,12,0.180333333333333
"52","SGS_2014_int_22",2.7,18,0.15
"53","SGS_2014_con_23",2.465,12,0.205416666666667
"54","SGS_2014_chr_24",2.209,13,0.169923076923077
"55","SGS_2014_chr_25",2.295,12,0.19125
"56","SGS_2014_int_26",2.536,13,0.195076923076923
"57","SGS_2014_con_27",2.559,14,0.182785714285714
"58","SGS_2014_int_28",2.158,11,0.196181818181818
"59","SGS_2014_chr_29",2.441,14,0.174357142857143
"60","SGS_2014_con_30",2.406,14,0.171857142857143
"61","SGS_2015_con_1",2.137,13,0.164384615384615
"62","SGS_2015_chr_2",2.039,10,0.2039
"63","SGS_2015_int_3",2.266,11,0.206
"64","SGS_2015_con_4",2.352,12,0.196
"65","SGS_2015_int_5",2.305,11,0.209545454545455
"66","SGS_2015_chr_6",1.92,8,0.24
"67","SGS_2015_chr_7",1.829,8,0.228625
"68","SGS_2015_con_8",2.545,15,0.169666666666667
"69","SGS_2015_int_9",2.309,13,0.177615384615385
"70","SGS_2015_con_10",2.707,15,0.180466666666667
"71","SGS_2015_int_11",2.554,13,0.196461538461538
"72","SGS_2015_chr_12",2.225,12,0.185416666666667
"73","SGS_2015_con_13",2.37,15,0.158
"74","SGS_2015_chr_14",2.387,14,0.1705
"75","SGS_2015_int_15",2.52,13,0.193846153846154
"76","SGS_2015_con_16",2.053,10,0.2053
"77","SGS_2015_int_17",2.135,10,0.2135
"78","SGS_2015_chr_18",2.374,13,0.182615384615385
"79","SGS_2015_int_19",2.236,12,0.186333333333333
"80","SGS_2015_con_20",2.356,11,0.214181818181818
"81","SGS_2015_chr_21",2.502,14,0.178714285714286
"82","SGS_2015_int_22",2.384,14,0.170285714285714
"83","SGS_2015_con_23",2.644,14,0.188857142857143
"84","SGS_2015_chr_24",2.246,13,0.172769230769231
"85","SGS_2015_chr_25",2.115,10,0.2115
"86","SGS_2015_int_26",2.295,12,0.19125
"87","SGS_2015_con_27",2.443,14,0.1745
"88","SGS_2015_int_28",2.57,14,0.183571428571429
