"","plot","PD","SR","pd_per_spp"
"1","HYS_2013_chr_1",1.996,13,0.153538461538462
"2","HYS_2013_int_2",1.774,14,0.126714285714286
"3","HYS_2013_con_3",1.751,12,0.145916666666667
"4","HYS_2013_int_4",2.156,19,0.113473684210526
"5","HYS_2013_chr_5",1.769,15,0.117933333333333
"6","HYS_2013_con_6",1.854,14,0.132428571428571
"7","HYS_2013_con_7",2.144,19,0.112842105263158
"8","HYS_2013_chr_8",1.935,17,0.113823529411765
"9","HYS_2013_int_9",2.097,18,0.1165
"10","HYS_2013_con_10",1.689,15,0.1126
"11","HYS_2013_int_11",1.909,16,0.1193125
"12","HYS_2013_chr_12",1.805,15,0.120333333333333
"13","HYS_2013_chr_13",2.134,19,0.112315789473684
"14","HYS_2013_int_14",1.97,15,0.131333333333333
"15","HYS_2013_con_15",2.047,15,0.136466666666667
"16","HYS_2013_int_16",2.168,18,0.120444444444444
"17","HYS_2013_con_17",2.129,18,0.118277777777778
"18","HYS_2013_chr_18",1.929,15,0.1286
"19","HYS_2013_int_19",1.999,18,0.111055555555556
"20","HYS_2013_con_20",2.063,20,0.10315
"21","HYS_2013_chr_21",2.018,15,0.134533333333333
"22","HYS_2013_con_22",2.023,16,0.1264375
"23","HYS_2013_chr_23",1.996,15,0.133066666666667
"24","HYS_2013_int_24",1.867,12,0.155583333333333
"25","HYS_2013_int_25",1.792,14,0.128
"26","HYS_2013_con_26",2.052,16,0.12825
"27","HYS_2013_chr_27",1.842,15,0.1228
"28","HYS_2013_chr_28",1.88,15,0.125333333333333
"29","HYS_2013_con_29",1.742,13,0.134
"30","HYS_2013_int_30",2.111,17,0.124176470588235
"31","HYS_2014_chr_1",1.917,12,0.15975
"32","HYS_2014_int_2",1.929,12,0.16075
"33","HYS_2014_con_3",1.506,10,0.1506
"34","HYS_2014_int_4",1.863,16,0.1164375
"35","HYS_2014_chr_5",1.597,14,0.114071428571429
"36","HYS_2014_con_6",1.668,14,0.119142857142857
"37","HYS_2014_con_7",2.07,18,0.115
"38","HYS_2014_chr_8",1.897,16,0.1185625
"39","HYS_2014_int_9",1.798,15,0.119866666666667
"40","HYS_2014_con_10",1.827,13,0.140538461538462
"41","HYS_2014_int_11",1.619,12,0.134916666666667
"42","HYS_2014_chr_12",1.603,12,0.133583333333333
"43","HYS_2014_chr_13",1.662,13,0.127846153846154
"44","HYS_2014_int_14",1.307,11,0.118818181818182
"45","HYS_2014_con_15",1.477,9,0.164111111111111
"46","HYS_2014_int_16",1.691,15,0.112733333333333
"47","HYS_2014_con_17",1.791,14,0.127928571428571
"48","HYS_2014_chr_18",1.809,13,0.139153846153846
"49","HYS_2014_int_19",1.722,15,0.1148
"50","HYS_2014_con_20",1.872,16,0.117
"51","HYS_2014_chr_21",1.49,9,0.165555555555556
"52","HYS_2014_con_22",1.531,12,0.127583333333333
"53","HYS_2014_chr_23",1.53,11,0.139090909090909
"54","HYS_2014_int_24",2.091,14,0.149357142857143
"55","HYS_2014_int_25",1.507,10,0.1507
"56","HYS_2014_con_26",1.582,11,0.143818181818182
"57","HYS_2014_chr_27",1.279,10,0.1279
"58","HYS_2014_chr_28",1.631,13,0.125461538461538
"59","HYS_2014_con_29",1.54,11,0.14
"60","HYS_2014_int_30",1.693,11,0.153909090909091
"61","HYS_2015_chr_1",1.765,12,0.147083333333333
"62","HYS_2015_int_2",1.523,11,0.138454545454545
"63","HYS_2015_con_3",1.506,10,0.1506
"64","HYS_2015_int_4",1.662,14,0.118714285714286
"65","HYS_2015_chr_5",1.518,11,0.138
"66","HYS_2015_con_6",1.598,12,0.133166666666667
"67","HYS_2015_con_7",1.657,13,0.127461538461538
"68","HYS_2015_chr_8",1.908,17,0.112235294117647
"69","HYS_2015_int_9",1.595,13,0.122692307692308
"70","HYS_2015_con_10",1.573,10,0.1573
"71","HYS_2015_int_11",1.603,12,0.133583333333333
"72","HYS_2015_chr_12",1.631,13,0.125461538461538
"73","HYS_2015_chr_13",1.999,19,0.105210526315789
"74","HYS_2015_int_14",1.506,11,0.136909090909091
"75","HYS_2015_con_15",1.479,9,0.164333333333333
"76","HYS_2015_int_16",2.104,17,0.123764705882353
"77","HYS_2015_con_17",1.603,12,0.133583333333333
"78","HYS_2015_chr_18",1.802,12,0.150166666666667
"79","HYS_2015_int_19",1.614,12,0.1345
"80","HYS_2015_con_20",1.872,16,0.117
"81","HYS_2015_chr_21",2.018,15,0.134533333333333
"82","HYS_2015_con_22",1.718,12,0.143166666666667
"83","HYS_2015_chr_23",1.523,10,0.1523
"84","HYS_2015_int_24",1.693,11,0.153909090909091
"85","HYS_2015_int_25",1.742,12,0.145166666666667
"86","HYS_2015_con_26",1.933,11,0.175727272727273
"87","HYS_2015_chr_27",1.694,12,0.141166666666667
"88","HYS_2015_chr_28",1.603,12,0.133583333333333
"89","HYS_2015_con_29",1.512,10,0.1512
