"","plot","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"1","HYS_2013_chr_1",13,1.996,1.31487887887888,0.107155171624874,1000,6.35639988992384,1,999
"2","HYS_2013_int_2",14,1.774,1.38146146146146,0.106277561632168,999,3.69352224975894,0.999,999
"3","HYS_2013_con_3",12,1.751,1.24904304304304,0.108031369067296,1000,4.6464000344592,1,999
"4","HYS_2013_int_4",19,2.156,1.66594894894895,0.118508780512304,1000,4.13514550510603,1,999
"5","HYS_2013_chr_5",15,1.769,1.43776476476476,0.109757455864992,995,3.01788368384444,0.995,999
"6","HYS_2013_con_6",14,1.854,1.38272872872873,0.106384174907865,1000,4.4299001395595,1,999
"7","HYS_2013_con_7",19,2.144,1.67571371371371,0.120211162415396,1000,3.89553080493557,1,999
"8","HYS_2013_chr_8",17,1.935,1.54505505505506,0.108778506603878,999,3.58476097088691,0.999,999
"9","HYS_2013_int_9",18,2.097,1.61516116116116,0.115816259069194,1000,4.16037301421527,1,999
"10","HYS_2013_con_10",15,1.689,1.42316416416416,0.109768909551317,991.5,2.42177714001575,0.9915,999
"11","HYS_2013_int_11",16,1.909,1.49703203203203,0.108934808762375,999,3.78178446952264,0.999,999
"12","HYS_2013_chr_12",15,1.805,1.43979179179179,0.112860904924662,996,3.23591422957309,0.996,999
"13","HYS_2013_chr_13",19,2.134,1.66824424424424,0.124593384363934,1000,3.73820615061949,1,999
"14","HYS_2013_int_14",15,1.97,1.44241441441441,0.109975541243387,1000,4.79729928692039,1,999
"15","HYS_2013_con_15",15,2.047,1.4358998998999,0.109927294199439,1000,5.55912982804246,1,999
"16","HYS_2013_int_16",18,2.168,1.6157047047047,0.119665130153429,1000,4.61534027988911,1,999
"17","HYS_2013_con_17",18,2.129,1.61336736736737,0.117509638781631,1000,4.38800287345651,1,999
"18","HYS_2013_chr_18",15,1.929,1.43361361361361,0.106079538988624,1000,4.66995229343439,1,999
"19","HYS_2013_int_19",18,1.999,1.60681381381381,0.11753277532638,998,3.33682400587509,0.998,999
"20","HYS_2013_con_20",20,2.063,1.72017917917918,0.126147347310174,993,2.71762211517524,0.993,999
"21","HYS_2013_chr_21",15,2.018,1.43608508508509,0.106059081767752,1000,5.48670519502699,1,999
"22","HYS_2013_con_22",16,2.023,1.49782882882883,0.113975904221972,1000,4.60773858085286,1,999
"23","HYS_2013_chr_23",15,1.996,1.44451751751752,0.109375268420826,1000,5.04211318010788,1,999
"24","HYS_2013_int_24",12,1.867,1.24981781781782,0.105510310843212,1000,5.84949638807633,1,999
"25","HYS_2013_int_25",14,1.792,1.37593193193193,0.10421857028455,1000,3.99226420907588,1,999
"26","HYS_2013_con_26",16,2.052,1.49602002002002,0.114241515428036,1000,4.86670697510318,1,999
"27","HYS_2013_chr_27",15,1.842,1.43390590590591,0.104899633084189,999,3.89032908977451,0.999,999
"28","HYS_2013_chr_28",15,1.88,1.43977477477477,0.110191709079331,1000,3.99508482900733,1,999
"29","HYS_2013_con_29",13,1.742,1.32174974974975,0.105612885580495,999,3.9791569744579,0.999,999
"30","HYS_2013_int_30",17,2.111,1.55862062062062,0.120075332129406,1000,4.60027359144904,1,999
"31","HYS_2014_chr_1",12,1.917,1.25537937937938,0.110386010698508,1000,5.9936998939809,1,999
"32","HYS_2014_int_2",12,1.929,1.25296996996997,0.107360204573908,1000,6.29683999497824,1,999
"33","HYS_2014_con_3",10,1.506,1.12050650650651,0.106279934873998,1000,3.62715214259889,1,999
"34","HYS_2014_int_4",16,1.863,1.48812912912913,0.113792520922855,1000,3.29433663856532,1,999
"35","HYS_2014_chr_5",14,1.597,1.37168368368368,0.109484371941583,975,2.05797697260881,0.975,999
"36","HYS_2014_con_6",14,1.668,1.38008008008008,0.10891825359197,992,2.6434496553583,0.992,999
"37","HYS_2014_con_7",18,2.07,1.62165465465465,0.123817111944498,1000,3.62102893779592,1,999
"38","HYS_2014_chr_8",16,1.897,1.49110710710711,0.107119291562207,1000,3.78916707694225,1,999
"39","HYS_2014_int_9",15,1.798,1.43146446446446,0.105621922295645,1000,3.4702600328516,1,999
"40","HYS_2014_con_10",13,1.827,1.30880880880881,0.104128670607896,1000,4.97645065634689,1,999
"41","HYS_2014_int_11",12,1.619,1.25020520520521,0.109029582373767,999,3.38252047531943,0.999,999
"42","HYS_2014_chr_12",12,1.603,1.24671371371371,0.111009586878251,998,3.20950916317743,0.998,999
"43","HYS_2014_chr_13",13,1.662,1.30991991991992,0.111515573081399,995,3.15722791311922,0.995,999
"44","HYS_2014_int_14",11,1.307,1.16788788788789,0.118602785316421,912,1.17292449533098,0.912,999
"45","HYS_2014_con_15",9,1.477,1.06235135135135,0.0994978760091709,1000,4.16741206224774,1,999
"46","HYS_2014_int_16",15,1.691,1.44008508508509,0.112013256836779,981,2.24004659806061,0.981,999
"47","HYS_2014_con_17",14,1.791,1.37277677677678,0.114877163730285,1000,3.64061236927081,1,999
"48","HYS_2014_chr_18",13,1.809,1.31012112112112,0.112904220782419,1000,4.4186025590689,1,999
"49","HYS_2014_int_19",15,1.722,1.42911811811812,0.110333889609924,990,2.65450518346937,0.99,999
"50","HYS_2014_con_20",16,1.872,1.49263063063063,0.11454353384191,1000,3.3120103478994,1,999
