"","plot","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"1","SBK_2012_con_1",4,1.153,0.865011011011011,0.103045570783975,1000,2.79477309697016,1,999
"2","SBK_2012_chr_2",8,1.505,1.40031531531532,0.127285186542276,789.5,0.822442010169939,0.7895,999
"3","SBK_2012_chr_3",3,1.1,0.706227227227227,0.126416675209251,1000,3.11487999602094,1,999
"4","SBK_2012_con_4",5,1.36,1.01424824824825,0.107204187932445,1000,3.22517019549301,1,999
"5","SBK_2012_del_5",4,1.136,0.871024024024024,0.0967008351901698,1000,2.74016222770858,1,999
"6","SBK_2012_chr_6",8,1.746,1.39837537537538,0.129152122614326,998,2.69159048715523,0.998,999
"7","SBK_2012_con_7",6,1.511,1.15234734734735,0.117092038848052,1000,3.06299775954939,1,999
"8","SBK_2012_del_8",5,1.491,1.00536836836837,0.109702889151639,1000,4.42678980824613,1,999
"9","SBK_2012_del_9",6,1.546,1.1508988988989,0.122016650153239,1000,3.23809169162485,1,999
"10","SBK_2012_chr_10",2,1.048,0.497782782782783,0.181420817134206,1000,3.03282294671947,1,999
"11","SBK_2012_con_11",4,1.395,0.868581581581582,0.106990780702881,1000,4.9202222374684,1,999
"12","SBK_2012_del_12",9,1.806,1.52016816816817,0.133463518495828,983,2.14164765812589,0.983,999
"13","SBK_2012_del_13",6,1.543,1.15272972972973,0.118216035668624,1000,3.30133105938565,1,999
"14","SBK_2012_del_14",6,1.508,1.15674974974975,0.117399338357296,1000,2.99192700031449,1,999
"15","SBK_2012_con_15",7,1.71,1.28265965965966,0.127740241987913,1000,3.34538539844614,1,999
"16","SBK_2012_chr_16",9,1.794,1.52272072072072,0.130067128810762,988.5,2.08568668932464,0.9885,999
"17","SBK_2012_con_17",6,1.54,1.14648848848849,0.120400715455441,1000,3.2683486142335,1,999
"18","SBK_2012_con_18",7,1.545,1.28322422422422,0.124687343547996,990,2.09945747761489,0.99,999
"19","SBK_2012_chr_19",5,1.447,1.01451051051051,0.110207436217503,1000,3.92432220849362,1,999
"20","SBK_2012_del_20",5,1.511,1.02143743743744,0.110722222977875,1000,4.42153841745384,1,999
"21","SBK_2012_con_21",6,1.457,1.14645645645646,0.11349309768572,1000,2.73623286240266,1,999
"22","SBK_2012_chr_22",6,1.5,1.14832132132132,0.118282667516104,1000,2.97320550900492,1,999
"23","SBK_2012_con_23",7,1.581,1.28543043043043,0.126161358154936,997,2.34279001028658,0.997,999
"24","SBK_2012_chr_24",5,1.315,1.01879179179179,0.106313780539297,1000,2.7861694571074,1,999
"25","SBK_2012_del_25",7,1.656,1.28276676676677,0.124437228772042,1000,2.99936953688484,1,999
"26","SBK_2012_chr_26",5,1.315,1.00926726726727,0.11126628425387,1000,2.74775719152407,1,999
"27","SBK_2012_con_27",5,1.293,1.01709109109109,0.112865361783373,1000,2.44458445486997,1,999
"28","SBK_2012_chr_28",6,1.234,1.14993493493494,0.117808822284185,764,0.71357189924434,0.764,999
"29","SBK_2012_del_29",5,1.5,1.01817717717718,0.109280978693678,1000,4.40902734018703,1,999
"30","SBK_2012_del_30",6,1.561,1.14382482482482,0.122212602397272,1000,3.41352010342664,1,999
"31","SBK_2013_con_1",11,1.965,1.75565865865866,0.140733330605401,931.5,1.48750363855389,0.9315,999
"32","SBK_2013_chr_2",10,1.906,1.64075675675676,0.130541196178414,984,2.03187385291558,0.984,999
"33","SBK_2013_chr_3",3,1.274,0.71615015015015,0.101381061924362,1000,5.50250549028623,1,999
"34","SBK_2013_con_4",7,1.754,1.29253153153153,0.119510393795716,1000,3.86132497611274,1,999
"35","SBK_2013_del_5",9,1.9,1.52879179179179,0.128469200057522,999,2.8894724030507,0.999,999
"36","SBK_2013_chr_6",7,1.815,1.28738438438438,0.126512747765158,1000,4.17045416320427,1,999
"37","SBK_2013_con_7",9,1.919,1.53327627627628,0.136135320172778,1000,2.83338462960367,1,999
"38","SBK_2013_del_8",11,2.201,1.7492982982983,0.146393980416243,1000,3.08552100583218,1,999
"39","SBK_2013_del_9",9,2.065,1.53556756756757,0.134541212514675,1000,3.93509484965199,1,999
"40","SBK_2013_chr_10",3,1.238,0.709977977977978,0.109308683516451,1000,4.83055879035038,1,999
"41","SBK_2013_con_11",8,1.809,1.41391891891892,0.135278886700054,1000,2.92049329144075,1,999
"42","SBK_2013_del_12",12,2.159,1.85255655655656,0.141308551645294,991,2.16861216023687,0.991,999
"43","SBK_2013_del_13",9,2.033,1.52735535535536,0.139886694948791,1000,3.61467289530107,1,999
"44","SBK_2013_del_14",11,2.239,1.75127127127127,0.143660182310369,1000,3.39501677420276,1,999
"45","SBK_2013_con_15",11,2.107,1.7438028028028,0.139232516098901,998,2.60856592535618,0.998,999
"46","SBK_2013_chr_16",7,1.544,1.28572372372372,0.1247188330702,988.5,2.07086828763784,0.9885,999
"47","SBK_2013_con_17",9,1.96,1.52544344344344,0.132850702568336,1000,3.27101436541542,1,999
"48","SBK_2013_con_18",8,1.753,1.41055755755756,0.133568932615187,1000,2.5637881185217,1,999
"49","SBK_2013_chr_19",5,1.479,1.01331731731732,0.10895547255834,1000,4.27406418189167,1,999
