"","plot","PD","SR","pd_per_spp"
"1","SBK_2012_con_1",1.153,4,0.28825
"2","SBK_2012_chr_2",1.505,8,0.188125
"3","SBK_2012_chr_3",1.1,3,0.366666666666667
"4","SBK_2012_con_4",1.36,5,0.272
"5","SBK_2012_del_5",1.136,4,0.284
"6","SBK_2012_chr_6",1.746,8,0.21825
"7","SBK_2012_con_7",1.511,6,0.251833333333333
"8","SBK_2012_del_8",1.491,5,0.2982
"9","SBK_2012_del_9",1.546,6,0.257666666666667
"10","SBK_2012_chr_10",1.048,2,0.524
"11","SBK_2012_con_11",1.395,4,0.34875
"12","SBK_2012_del_12",1.806,9,0.200666666666667
"13","SBK_2012_del_13",1.543,6,0.257166666666667
"14","SBK_2012_del_14",1.508,6,0.251333333333333
"15","SBK_2012_con_15",1.71,7,0.244285714285714
"16","SBK_2012_chr_16",1.794,9,0.199333333333333
"17","SBK_2012_con_17",1.54,6,0.256666666666667
"18","SBK_2012_con_18",1.545,7,0.220714285714286
"19","SBK_2012_chr_19",1.447,5,0.2894
"20","SBK_2012_del_20",1.511,5,0.3022
"21","SBK_2012_con_21",1.457,6,0.242833333333333
"22","SBK_2012_chr_22",1.5,6,0.25
"23","SBK_2012_con_23",1.581,7,0.225857142857143
"24","SBK_2012_chr_24",1.315,5,0.263
"25","SBK_2012_del_25",1.656,7,0.236571428571429
"26","SBK_2012_chr_26",1.315,5,0.263
"27","SBK_2012_con_27",1.293,5,0.2586
"28","SBK_2012_chr_28",1.234,6,0.205666666666667
"29","SBK_2012_del_29",1.5,5,0.3
"30","SBK_2012_del_30",1.561,6,0.260166666666667
"31","SBK_2013_con_1",1.965,11,0.178636363636364
"32","SBK_2013_chr_2",1.906,10,0.1906
"33","SBK_2013_chr_3",1.274,3,0.424666666666667
"34","SBK_2013_con_4",1.754,7,0.250571428571429
"35","SBK_2013_del_5",1.9,9,0.211111111111111
"36","SBK_2013_chr_6",1.815,7,0.259285714285714
"37","SBK_2013_con_7",1.919,9,0.213222222222222
"38","SBK_2013_del_8",2.201,11,0.200090909090909
"39","SBK_2013_del_9",2.065,9,0.229444444444444
"40","SBK_2013_chr_10",1.238,3,0.412666666666667
"41","SBK_2013_con_11",1.809,8,0.226125
"42","SBK_2013_del_12",2.159,12,0.179916666666667
"43","SBK_2013_del_13",2.033,9,0.225888888888889
"44","SBK_2013_del_14",2.239,11,0.203545454545455
"45","SBK_2013_con_15",2.107,11,0.191545454545455
"46","SBK_2013_chr_16",1.544,7,0.220571428571429
"47","SBK_2013_con_17",1.96,9,0.217777777777778
"48","SBK_2013_con_18",1.753,8,0.219125
"49","SBK_2013_chr_19",1.479,5,0.2958
"50","SBK_2013_del_20",2.26,11,0.205454545454545
"51","SBK_2013_con_21",1.865,9,0.207222222222222
"52","SBK_2013_chr_22",1.515,6,0.2525
"53","SBK_2013_con_23",1.972,10,0.1972
"54","SBK_2013_chr_24",1.543,6,0.257166666666667
"55","SBK_2013_del_25",1.899,8,0.237375
"56","SBK_2013_chr_26",1.543,6,0.257166666666667
"57","SBK_2013_con_27",2.186,11,0.198727272727273
"58","SBK_2013_chr_28",1.418,6,0.236333333333333
"59","SBK_2013_del_29",1.921,7,0.274428571428571
"60","SBK_2013_del_30",1.982,8,0.24775
"61","SBK_2014_con_1",1.478,6,0.246333333333333
"62","SBK_2014_chr_2",1.318,4,0.3295
"63","SBK_2014_chr_3",1.401,5,0.2802
"64","SBK_2014_con_4",1.535,5,0.307
"65","SBK_2014_del_5",2.179,10,0.2179
"66","SBK_2014_chr_6",1.394,4,0.3485
"67","SBK_2014_con_7",1.965,8,0.245625
"68","SBK_2014_del_8",2.602,13,0.200153846153846
"69","SBK_2014_del_9",2.014,8,0.25175
"70","SBK_2014_chr_10",1.401,5,0.2802
"71","SBK_2014_con_11",1.96,7,0.28
"72","SBK_2014_del_12",2.279,11,0.207181818181818
"73","SBK_2014_del_13",2.051,10,0.2051
"74","SBK_2014_del_14",2.494,13,0.191846153846154
"75","SBK_2014_con_15",1.554,8,0.19425
