"","plot","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"1","SBL_2012_con_1",4,1.338,0.64712012012012,0.142545192305052,1000,4.84674276773483,1,999
"2","SBL_2012_del_2",4,1.333,0.642858858858859,0.150093481555696,1000,4.59807537268063,1,999
"3","SBL_2012_chr_3",3,1.117,0.419514514514514,0.228006841518183,1000,3.05905507414287,1,999
"4","SBL_2012_con_4",8,1.634,1.14010510510511,0.135263307251231,997,3.6513590043866,0.997,999
"5","SBL_2012_chr_5",6,1.51,0.909781781781782,0.110333264643998,1000,5.44004766064784,1,999
"6","SBL_2012_con_6",4,1.265,0.636610610610611,0.152264521463539,1000,4.12695868577541,1,999
"7","SBL_2012_del_7",4,1.146,0.623971971971972,0.141775073825874,1000,3.68208609553733,1,999
"8","SBL_2012_del_8",6,1.471,0.902175175175175,0.117238543561993,1000,4.85185850610675,1,999
"9","SBL_2012_chr_9",4,1.338,0.640216216216216,0.145299205143483,1000,4.80239229866896,1,999
"10","SBL_2012_con_10",5,1.344,0.779867867867868,0.103426111207555,1000,5.45444593773842,1,999
"11","SBL_2012_chr_11",6,1.21,0.905145145145145,0.113445121292385,991,2.68724517530501,0.991,999
"12","SBL_2012_del_12",5,1.175,0.775408408408408,0.107672606310374,999,3.71117227755908,0.999,999
"13","SBL_2012_con_13",7,1.447,1.02265865865866,0.125504611140139,993,3.38108167888366,0.993,999
"14","SBL_2012_chr_14",7,1.5,1.02233533533534,0.123579490383922,995,3.86524222733655,0.995,999
"15","SBL_2012_del_15",5,1.181,0.775287287287287,0.0999357436268779,1000,4.05973576608876,1,999
"16","SBL_2012_con_16",4,1.278,0.638384384384384,0.153212233105398,1000,4.17470330306857,1,999
"17","SBL_2012_chr_18",5,1.442,0.786517517517518,0.10413481436373,1000,6.29455659461745,1,999
"18","SBL_2012_con_19",3,1.151,0.401411411411411,0.233078981319586,1000,3.21602825078762,1,999
"19","SBL_2012_chr_20",5,1.442,0.788095095095095,0.108365067904051,1000,6.03427762795189,1,999
"20","SBL_2012_del_21",4,1.152,0.639776776776777,0.154676374352345,1000,3.31158022915901,1,999
"21","SBL_2012_con_23",5,1.299,0.792898898898899,0.105918999512383,999,4.77818996998676,0.999,999
"22","SBL_2012_chr_24",4,1.338,0.647687687687688,0.145560200957419,1000,4.74245231712927,1,999
"23","SBL_2012_del_25",7,1.629,1.02875375375375,0.130315408278119,999,4.60610340847187,0.999,999
"24","SBL_2012_con_26",6,1.337,0.906694694694695,0.105412995789155,999,4.0820897089956,0.999,999
"25","SBL_2012_chr_27",4,1.146,0.612106106106106,0.158782652119118,1000,3.36241955130823,1,999
"26","SBL_2012_del_28",8,1.65,1.13845245245245,0.133748266115375,996,3.82470414312714,0.996,999
"27","SBL_2012_del_29",6,1.374,0.909635635635636,0.112524303192641,998,4.12679173466532,0.998,999
"28","SBL_2012_con_30",6,1.515,0.904555555555556,0.109332180615329,1000,5.58339219988866,1,999
"29","SBL_2012_chr_31",6,1.44,0.904307307307307,0.111665164104144,1000,4.79731254586327,1,999
"30","SBL_2012_del_32",5,1.486,0.785503503503504,0.106363565914489,1000,6.58586885907587,1,999
"31","SBL_2013_con_1",6,1.392,0.906671671671672,0.107256459967303,999,4.52493330915712,0.999,999
"32","SBL_2013_del_2",6,1.475,0.913315315315315,0.115106388341176,1000,4.87970036050344,1,999
"33","SBL_2013_chr_3",4,1.146,0.621620620620621,0.141587454351276,1000,3.70357233825537,1,999
"34","SBL_2013_con_4",8,1.662,1.13639139139139,0.129237706322253,997,4.066991155801,0.997,999
"35","SBL_2013_chr_5",6,1.51,0.910598598598599,0.111394378013183,1000,5.38089454865006,1,999
"36","SBL_2013_con_6",5,1.481,0.783887887887888,0.110268143951844,1000,6.32197194156594,1,999
