"","plot","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"1","SGS_2013_con_1",10,2.083,1.75441441441441,0.131767308843248,997,2.49368062890678,0.997,999
"2","SGS_2013_chr_2",12,2.363,1.97885185185185,0.127698064454419,1000,3.0082534906805,1,999
"3","SGS_2013_int_3",9,1.85,1.63369469469469,0.125571534602739,970,1.72256639205385,0.97,999
"4","SGS_2013_con_4",10,2.035,1.75965465465465,0.126165007327721,993,2.1824224575212,0.993,999
"5","SGS_2013_int_5",10,2.048,1.75832132132132,0.125412425256325,989,2.30980844271704,0.989,999
"6","SGS_2013_chr_6",9,1.745,1.6393043043043,0.126387892181457,796,0.836280231210335,0.796,999
"7","SGS_2013_chr_7",10,2.077,1.75858858858859,0.128005346166495,999,2.48748525703963,0.999,999
"8","SGS_2013_con_8",11,2.182,1.87481881881882,0.132273621058252,998,2.32231626172767,0.998,999
"9","SGS_2013_int_9",10,2.033,1.77008208208208,0.132143615583759,985,1.98963768893751,0.985,999
"10","SGS_2013_con_10",10,2.068,1.75792192192192,0.129816171514505,993,2.38859361249482,0.993,999
"11","SGS_2013_int_11",6,1.382,1.18350850850851,0.143892876813528,888,1.37943931546187,0.888,999
"12","SGS_2013_chr_12",9,2.257,1.64678178178178,0.129060705716141,1000,4.72814877953904,1,999
"13","SGS_2013_con_13",12,2.386,1.97328028028028,0.124032235779843,1000,3.32751979454999,1,999
"14","SGS_2013_chr_14",12,2.3,1.97358058058058,0.12810325581954,998,2.54809620045294,0.998,999
"15","SGS_2013_int_15",11,2.345,1.87083983983984,0.130308499278992,1000,3.63875083193904,1,999
"16","SGS_2013_con_16",12,2.314,1.97460860860861,0.133072907699099,997,2.5504168899564,0.997,999
"17","SGS_2013_int_17",10,2.068,1.75857857857858,0.129844162728908,996,2.38302142289938,0.996,999
"18","SGS_2013_chr_18",10,1.941,1.75877477477477,0.127715931043896,923.5,1.42680105555974,0.9235,999
"19","SGS_2013_int_19",8,1.785,1.49516316316316,0.12943434205113,987,2.23925762084335,0.987,999
"20","SGS_2013_con_20",5,1.446,1.04002302302302,0.144676733391517,1000,2.80609720346907,1,999
"21","SGS_2013_chr_21",9,1.993,1.63174674674675,0.134124381177246,1000,2.69341972042991,1,999
"22","SGS_2013_int_22",12,2.42,1.98040640640641,0.124773313486963,1000,3.52313793156999,1,999
"23","SGS_2013_con_23",10,1.946,1.76221421421421,0.126201012473184,925,1.4562940675681,0.925,999
"24","SGS_2013_chr_24",10,1.992,1.75602002002002,0.123630281454766,983,1.90875550231858,0.983,999
"25","SGS_2013_chr_25",12,2.566,1.9747007007007,0.129450981544193,1000,4.56774674278879,1,999
"26","SGS_2013_int_26",9,1.748,1.63315215215215,0.127681988758711,808.5,0.899483544737725,0.8085,999
"27","SGS_2013_con_27",10,2.06,1.75614114114114,0.131536629380704,995,2.31007028452436,0.995,999
"28","SGS_2013_int_28",8,1.701,1.49742242242242,0.130129686114099,950,1.56442072256347,0.95,999
"29","SGS_2013_chr_29",11,2.307,1.86605205205205,0.130726240645403,1000,3.37306378406479,1,999
"30","SGS_2013_con_30",10,2.14,1.75591991991992,0.126544033357367,999,3.0351496620581,0.999,999
"31","SGS_2014_con_1",12,2.293,1.98072172172172,0.125822132618837,996,2.4819026015422,0.996,999
"32","SGS_2014_chr_2",11,2.252,1.87376276276276,0.124555831196073,1000,3.03668831563433,1,999
"33","SGS_2014_int_3",13,2.446,2.07437837837838,0.131271517839037,999,2.83093871190931,0.999,999
"34","SGS_2014_con_4",12,2.224,1.97509409409409,0.129790640555885,979,1.9177492678968,0.979,999
"35","SGS_2014_int_5",13,2.437,2.07083783783784,0.129027158944232,997,2.83786890417717,0.997,999
"36","SGS_2014_chr_6",13,2.414,2.07837137137137,0.124704553535813,999,2.69139032306662,0.999,999
"37","SGS_2014_chr_7",12,2.375,1.97728728728729,0.128642872035724,1000,3.09160318344158,1,999
"38","SGS_2014_con_8",15,2.369,2.25530730730731,0.129627285410528,823,0.877073776038969,0.823,999
"39","SGS_2014_int_9",15,2.5,2.24974474474474,0.129799938204244,984,1.92800750691785,0.984,999
"40","SGS_2014_con_10",14,2.429,2.17201401401401,0.128777035427559,978,1.99558861665633,0.978,999
"41","SGS_2014_int_11",13,2.181,2.073001001001,0.130759960743594,803.5,0.825933247339932,0.8035,999
"42","SGS_2014_chr_12",12,2.294,1.97572272272272,0.1288365550223,995,2.4703957446098,0.995,999
"43","SGS_2014_con_13",12,2.197,1.98072072072072,0.130790930940619,966,1.653625964154,0.966,999
"44","SGS_2014_chr_14",15,2.36,2.25766566566567,0.127809071077258,776.5,0.800681309016598,0.7765,999
"45","SGS_2014_int_15",13,2.438,2.07530530530531,0.12857860162357,999,2.82080136286229,0.999,999
"46","SGS_2014_con_16",12,2.306,1.97468468468468,0.123220949844728,999,2.68879046730941,0.999,999
"47","SGS_2014_int_17",9,1.963,1.63106906906907,0.123952404702358,1000,2.6778902089716,1,999
"48","SGS_2014_chr_18",13,2.43,2.07732732732733,0.125269560906644,1000,2.81531020081964,1,999
"49","SGS_2014_int_19",12,2.497,1.98622022022022,0.127166285153381,1000,4.01662892930863,1,999
