"","plot","PD","SR","pd_per_spp"
"1","KNZ_2013_int_1",2.078,13,0.159846153846154
"2","KNZ_2013_chr_2",1.672,9,0.185777777777778
"3","KNZ_2013_con_3",1.857,11,0.168818181818182
"4","KNZ_2013_con_4",1.771,10,0.1771
"5","KNZ_2013_int_5",1.625,7,0.232142857142857
"6","KNZ_2013_chr_6",1.603,7,0.229
"7","KNZ_2013_chr_7",1.738,9,0.193111111111111
"8","KNZ_2013_int_8",1.626,8,0.20325
"9","KNZ_2013_con_9",1.558,7,0.222571428571429
"10","KNZ_2013_chr_10",2.02,15,0.134666666666667
"11","KNZ_2013_int_11",1.965,13,0.151153846153846
"12","KNZ_2013_con_12",1.7,7,0.242857142857143
"13","KNZ_2013_chr_13",1.508,8,0.1885
"14","KNZ_2013_con_14",1.874,11,0.170363636363636
"15","KNZ_2013_int_15",1.785,11,0.162272727272727
"16","KNZ_2013_con_16",1.543,6,0.257166666666667
"17","KNZ_2013_chr_17",1.632,9,0.181333333333333
"18","KNZ_2013_int_18",1.817,10,0.1817
"19","KNZ_2013_con_19",1.896,11,0.172363636363636
"20","KNZ_2013_chr_20",1.605,8,0.200625
"21","KNZ_2013_int_21",1.732,11,0.157454545454545
"22","KNZ_2013_int_22",1.557,6,0.2595
"23","KNZ_2013_con_23",1.904,12,0.158666666666667
"24","KNZ_2013_chr_24",1.723,9,0.191444444444444
"25","KNZ_2013_int_25",1.702,8,0.21275
"26","KNZ_2013_chr_26",1.811,10,0.1811
"27","KNZ_2013_con_27",1.756,8,0.2195
"28","KNZ_2013_chr_28",1.686,7,0.240857142857143
"29","KNZ_2013_int_29",1.757,9,0.195222222222222
"30","KNZ_2013_con_30",1.926,13,0.148153846153846
"31","KNZ_2014_int_1",1.902,12,0.1585
"32","KNZ_2014_chr_2",1.838,11,0.167090909090909
"33","KNZ_2014_con_3",1.793,10,0.1793
"34","KNZ_2014_con_4",1.742,9,0.193555555555556
"35","KNZ_2014_int_5",1.672,8,0.209
"36","KNZ_2014_chr_6",1.351,6,0.225166666666667
"37","KNZ_2014_chr_7",1.821,10,0.1821
"38","KNZ_2014_int_8",1.626,8,0.20325
"39","KNZ_2014_con_9",1.792,8,0.224
"40","KNZ_2014_chr_10",1.855,11,0.168636363636364
"41","KNZ_2014_int_11",2.006,13,0.154307692307692
"42","KNZ_2014_con_12",1.7,7,0.242857142857143
"43","KNZ_2014_chr_13",1.76,9,0.195555555555556
"44","KNZ_2014_con_14",1.874,11,0.170363636363636
