"","plot","PD","SR","pd_per_spp"
"1","HPG_2013_int_1",3.176,20,0.1588
"2","HPG_2013_chr_2",3.103,18,0.172388888888889
"3","HPG_2013_con_3",2.908,17,0.171058823529412
"4","HPG_2013_chr_4",2.511,14,0.179357142857143
"5","HPG_2013_con_5",2.828,16,0.17675
"6","HPG_2013_int_6",2.618,16,0.163625
"7","HPG_2013_int_7",2.453,15,0.163533333333333
"8","HPG_2013_con_8",2.65,16,0.165625
"9","HPG_2013_chr_9",2.49,17,0.146470588235294
"10","HPG_2013_chr_10",2.851,16,0.1781875
"11","HPG_2013_int_11",2.896,17,0.170352941176471
"12","HPG_2013_con_12",3.14,20,0.157
"13","HPG_2013_int_13",2.199,11,0.199909090909091
"14","HPG_2013_con_14",2.377,14,0.169785714285714
"15","HPG_2013_chr_15",2.173,12,0.181083333333333
"16","HPG_2013_int_16",2.007,10,0.2007
"17","HPG_2013_chr_17",2.729,16,0.1705625
"18","HPG_2013_con_18",2.283,13,0.175615384615385
"19","HPG_2013_int_19",2.921,19,0.153736842105263
"20","HPG_2013_chr_20",2.875,18,0.159722222222222
"21","HPG_2013_con_21",2.187,12,0.18225
"22","HPG_2013_chr_22",1.999,10,0.1999
"23","HPG_2013_con_23",2.415,14,0.1725
"24","HPG_2013_int_24",2.405,14,0.171785714285714
"25","HPG_2013_chr_25",2.465,15,0.164333333333333
"26","HPG_2013_con_26",2.527,14,0.1805
"27","HPG_2013_int_27",2.291,15,0.152733333333333
"28","HPG_2013_int_28",2.899,18,0.161055555555556
"29","HPG_2013_con_29",2.473,15,0.164866666666667
"30","HPG_2013_chr_30",2.411,12,0.200916666666667
"31","HPG_2014_int_1",3.296,23,0.143304347826087
"32","HPG_2014_chr_2",3.28,23,0.142608695652174
"33","HPG_2014_con_3",3.078,19,0.162
"34","HPG_2014_chr_4",2.948,21,0.140380952380952
"35","HPG_2014_con_5",3.002,19,0.158
"36","HPG_2014_int_6",2.752,19,0.144842105263158
"37","HPG_2014_int_7",2.936,20,0.1468
"38","HPG_2014_con_8",2.786,21,0.132666666666667
"39","HPG_2014_chr_9",2.78,19,0.146315789473684
"40","HPG_2014_chr_10",2.977,20,0.14885
"41","HPG_2014_int_11",3.158,22,0.143545454545455
"42","HPG_2014_con_12",3.165,19,0.166578947368421
"43","HPG_2014_int_13",2.713,18,0.150722222222222
"44","HPG_2014_con_14",2.518,16,0.157375
"45","HPG_2014_chr_15",2.603,17,0.153117647058824
"46","HPG_2014_int_16",2.53,17,0.148823529411765
"47","HPG_2014_chr_17",2.918,19,0.153578947368421
"48","HPG_2014_con_18",2.475,16,0.1546875
"49","HPG_2014_int_19",3.104,23,0.13495652173913
"50","HPG_2014_chr_20",3.076,22,0.139818181818182
"51","HPG_2014_con_21",2.8,18,0.155555555555556
"52","HPG_2014_chr_22",2.713,18,0.150722222222222
"53","HPG_2014_con_23",2.963,21,0.141095238095238
"54","HPG_2014_int_24",2.805,18,0.155833333333333
"55","HPG_2014_chr_25",2.836,21,0.135047619047619
"56","HPG_2014_con_26",2.558,16,0.159875
"57","HPG_2014_int_27",2.734,18,0.151888888888889
"58","HPG_2014_int_28",3.407,23,0.148130434782609
"59","HPG_2014_con_29",2.606,18,0.144777777777778
"60","HPG_2014_chr_30",2.741,17,0.161235294117647
"61","HPG_2015_int_1",2.765,19,0.145526315789474
"62","HPG_2015_chr_2",3.218,23,0.139913043478261
"63","HPG_2015_con_3",2.659,18,0.147722222222222
"64","HPG_2015_chr_4",2.812,21,0.133904761904762
"65","HPG_2015_con_5",3.017,23,0.131173913043478
"66","HPG_2015_int_6",2.748,19,0.144631578947368
"67","HPG_2015_int_7",2.638,18,0.146555555555556
"68","HPG_2015_con_8",2.642,18,0.146777777777778
"69","HPG_2015_chr_9",2.635,20,0.13175
"70","HPG_2015_chr_10",3.029,23,0.131695652173913
"71","HPG_2015_int_11",2.957,21,0.140809523809524
"72","HPG_2015_con_12",2.985,21,0.142142857142857
"73","HPG_2015_int_13",2.64,19,0.138947368421053
"74","HPG_2015_con_14",2.868,20,0.1434
"75","HPG_2015_chr_15",2.295,17,0.135
"76","HPG_2015_int_16",2.673,21,0.127285714285714
"77","HPG_2015_chr_17",3.028,21,0.144190476190476
"78","HPG_2015_con_18",2.533,17,0.149
"79","HPG_2015_int_19",2.981,24,0.124208333333333
"80","HPG_2015_chr_20",2.732,19,0.143789473684211
"81","HPG_2015_con_21",2.663,17,0.156647058823529
"82","HPG_2015_chr_22",2.534,17,0.149058823529412
"83","HPG_2015_con_23",2.975,22,0.135227272727273
"84","HPG_2015_int_24",2.506,17,0.147411764705882
"85","HPG_2015_chr_25",2.617,19,0.137736842105263
"86","HPG_2015_con_26",2.525,17,0.148529411764706
"87","HPG_2015_int_27",2.706,20,0.1353
"88","HPG_2015_int_28",3.293,26,0.126653846153846
"89","HPG_2015_con_29",2.66,20,0.133
"90","HPG_2015_chr_30",2.741,18,0.152277777777778
"91","HPG_2016_int_1",2.92,19,0.153684210526316
"92","HPG_2016_chr_2",2.989,21,0.142333333333333
"93","HPG_2016_con_3",3.355,24,0.139791666666667
"94","HPG_2016_chr_4",3.04,20,0.152
"95","HPG_2016_con_5",3.051,22,0.138681818181818
"96","HPG_2016_int_6",3.194,23,0.138869565217391
"97","HPG_2016_int_7",2.893,22,0.1315
"98","HPG_2016_con_8",2.71,18,0.150555555555556
"99","HPG_2016_chr_9",2.86,19,0.150526315789474
"100","HPG_2016_chr_10",3.278,26,0.126076923076923
"101","HPG_2016_int_11",3.09,21,0.147142857142857
"102","HPG_2016_con_12",3.335,25,0.1334
"103","HPG_2016_int_13",2.916,21,0.138857142857143
"104","HPG_2016_con_14",2.818,19,0.148315789473684
"105","HPG_2016_chr_15",2.174,16,0.135875
"106","HPG_2016_int_16",2.425,19,0.127631578947368
"107","HPG_2016_chr_17",3.1,21,0.147619047619048
"108","HPG_2016_con_18",2.882,21,0.137238095238095
"109","HPG_2016_int_19",3.041,23,0.132217391304348
"110","HPG_2016_chr_20",2.72,19,0.143157894736842
"111","HPG_2016_con_21",2.735,18,0.151944444444444
"112","HPG_2016_chr_22",2.727,19,0.143526315789474
"113","HPG_2016_con_23",3.001,24,0.125041666666667
"114","HPG_2016_int_24",2.539,19,0.133631578947368
